Designator,Mid X,Mid Y,Rotation,Layer
BT1,189.26,-88.63,0.0,bottom
C1,190.11,-68.01,0.0,bottom
C2,180.62,-68.69,0.0,bottom
D1,182.02,-51.28,180.0,top
D10,177.39,-96.775,90.0,top
D11,182.116299,-58.443674,0.0,top
D12,215.44,-58.32,180.0,top
D2,206.36645,-79.803416,0.0,top
D3,175.334626,-58.613358,0.0,top
D4,206.684547,-37.205186,0.0,top
D5,149.843832,-36.187037,180.0,top
D6,150.306696,-80.871969,180.0,top
D7,139.587813,-59.77721,0.0,top
D8,175.279888,-51.056558,0.0,top
D9,177.762471,-20.512892,90.0,top
Q1,171.44,-74.605,0.0,bottom
Q2,171.34,-67.965,0.0,bottom
R1,162.3,-71.38,0.0,bottom
R10,159.04,-81.75,180.0,bottom
R11,148.69,-60.22,180.0,bottom
R12,166.78,-51.1,0.0,bottom
R13,178.262471,-29.222892,270.0,bottom
R14,177.89,-86.885,270.0,bottom
R15,191.71,-58.2,180.0,bottom
R16,206.61,-58.58,0.0,bottom
R2,162.77,-66.91,0.0,bottom
R3,161.83,-76.09,0.0,bottom
R4,182.74,-76.56,0.0,bottom
R5,191.43,-51.58,180.0,bottom
R6,197.15,-79.96,0.0,bottom
R7,166.68,-58.58,0.0,bottom
R8,198.26,-37.25,0.0,bottom
R9,159.11,-36.73,180.0,bottom
SW1,197.37,-87.22,0.0,bottom
